area_id	DEF_CELLNAME	def_cellname_chinese	lat	lon
NULL	5-697-1-1	长沙新开铺新天村HL-D3900460236PT-1	28.13731	112.96346
NULL	5-7142-1-3	长沙浏柏加新源HL-D3900460739PT-3	28.02722	113.22417
NULL	5-7211-1-3	长沙浏汽车东站(联通)HL-D3900471901PT-3	28.18056	113.64146
E86295EC-BACE-483E-B26D-8B2F5FAF78DA	5-785-1-3	长沙步行街南门口侧(黄兴路步行街D区拉远)HL-D3900471666PT-3	28.18792	112.97041
NULL	7310-985887-985887-131	长沙地铁2号西延线麓云路ZL-B8300985887TF-131	28.19481	112.88717
EC2967E9-7396-4F47-B575-7782D245D1E9	7311-985771-985771-133	长沙望城区欧柏泰克(办公楼、宿舍楼)ZL-B8300985771TF-133	28.29591	112.86589
NULL	7452-143892-1043892-2	怀化洪江市二中ZLB83001043892PT-2	27.31456	110.14111
NULL	Nokia-102302-MRBTS-289865-LNBTS-289865-LNCEL-131	yozdaoxianshangguananzhiquNL-FSIH289865PT-131	25.51771	111.59523
AF9D31BB-3CFE-4FC6-A93B-0883B32E1E89	Nokia-102302-MRBTS-395886-LNBTS-395886-LNCEL-72	xtahexixiangdajinhanlin5dong6dong9dongshifenNL-FSIH395886TF-72	27.88259	112.86052
AF9D31BB-3CFE-4FC6-A93B-0883B32E1E89	Nokia-102302-MRBTS-464273-LNBTS-464273-LNCEL-2	xtaxiangtanshixiangdayinshuachangqinhugongyu8dongnanNL-FSMF464273TF-2	27.88295	112.86142
NULL	Nokia-102337-MRBTS-286280-LNBTS-286280-LNCEL-131	huhzjrenminyiyuanFL-FSIH286280TF-131	27.45099	109.69537
NULL	Nokia-102337-MRBTS-464933-LNBTS-464933-LNCEL-1	LDILX-MinYingShiChangNL-FSMF464933PT-1	27.72012	111.99655
NULL	0-394588-394588-73	长沙岳麓区湖大复临舍教学中前进土木(商学院拉远)ZL-B8300394588TF-73	28.18169	112.93963
7E15CFEC-8109-4AE0-B136-ACD03DF5BF8D	0-459866-459866-2	长沙地铁2号线橘子洲站ZL-B8300459866TF-2	28.19875	112.95716
NULL	1-474120-474120-2	长沙卧龙湾会所ZL-B8300474120PT-2	28.27798	112.89748
NULL	2-24547-1-132	益阳南县八百弓HF-D3900289372PT-132	29.23921	112.24441
NULL	3-12872-1-133	永州东安大盛服务站HLD3900289653PT-133	26.78251	111.43167
